,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
TX,27,H6TX27092,,Raul (Roy),Barrera,"Barrera, Raul (Roy)",DEM
TX,27,H0TX27061,(I),Blake,Farenthold,"Farenthold, Blake",REP
,,,,,,,
TX,28,H2TX23082,(I),Henry,Cuellar,"Cuellar, Henry",DEM
TX,28,H6TX28074 ,,Zeffen ,Hardin,"Hardin, Zeffen ",REP
TX,28,H4TX28061,,Michael D.,Cary,"Cary, Michael D.",GRE
,,,,,,,
TX,29,H2TX29030,(I),Gene,Green,"Green, Gene",DEM
TX,29,H6TX29072,,Julio ,Garza,"Garza, Julio ",REP
TX,29,H6TX29098,,James ,Partsch-Galvan,"Partsch-Galvan, James ",GRE
TX,29,H6TX29114,,N. Ruben,Perez,"Perez, N. Ruben",LIB
,,,,,,,
TX,30,H2TX00015,(I),Eddie Bernice,Johnson,"Johnson, Eddie Bernice",DEM
TX,30,H0TX30032,,Charles,Lingerfelt,"Lingerfelt, Charles",REP
TX,30,H6TX30146,,Thom,Prentice,"Prentice, Thom",GRE
TX,30,H8TX30035,,Jarrett R.,Woods,"Woods, Jarrett R.",LIB
,,,,,,,
TX,31,H6TX31045,,Mike ,Clark,"Clark, Mike ",DEM
TX,31,H2TX31044,(I),John ,Carter,"Carter, John ",REP
TX,31,H2TX11095,,Scott J.,Ballard,"Ballard, Scott J.",LIB
,,,,,,,
TX,32,H2TX03126 ,(I),Pete,Sessions,"Sessions, Pete",REP
TX,32,H6TX32092,,Gary,Stuard,"Stuard, Gary",GRE
TX,32,H2TX30103,,Ed,Rankin,"Rankin, Ed",LIB
,,,,,,,
TX,33,H2TX33073 ,(I),Marc ,Veasey,"Veasey, Marc ",DEM
TX,33,H2TX33099,,M. Mark ,Mitchell,"Mitchell, M. Mark ",REP
,,,,,,,
TX,34,H2TX27190 ,(I),Filemon B.,Vela,"Vela, Filemon B.",DEM
TX,34,H6TX34023 ,,"Rey, Jr.",Gonzalez,"Gonzalez, Rey, Jr.",REP
,,,,,,,
TX,35,H4TX10028 ,(I),Lloyd,Doggett,"Doggett, Lloyd",DEM
TX,35,H2TX35029 ,,Susan,Narvaiz,"Narvaiz, Susan",REP
TX,35,H6TX35012,,Scott,Trimble,"Trimble, Scott",GRE
