,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
CA,10,H2CA00096 ,,"Michael J. ""Mike""",Barkley,"Barkley, Michael J. ""Mike""",DEM
CA,10,H4CA10075 ,,Michael  ,Eggman,"Eggman, Michael  ",DEM
CA,10,H0CA19173 ,(I),Jeff,Denham,"Denham, Jeff",REP
CA,10,H6CA10146 ,,Robert,Hodges,"Hodges, Robert",REP
,,,,,,,
CA,11,H0CA10073 ,(I),Mark,Desaulnier,"Desaulnier, Mark",DEM
CA,11,H6CA11169,,Roger Allen,Petersen,"Petersen, Roger Allen",REP
,,,,,,,
CA,12,H8CA05035 ,(I),Nancy ,Pelosi,"Pelosi, Nancy ",DEM
CA,12,H6CA12183 ,,Bob,Miller,"Miller, Bob",REP
CA,12,H4CA12089 ,,Barry,Hermanson,"Hermanson, Barry",GRE
CA,12,H6CA12175 ,,Preston,Picus,"Picus, Preston",NOP
,,,,,,,
CA,13,H8CA09060 ,(I),Barbara,Lee,"Lee, Barbara",DEM
CA,13,H6CA13140,,Sue,Caro,"Caro, Sue",REP
,,,,,,,
CA,14,H8CA12171,(I),Jackie,Speier,"Speier, Jackie",DEM
CA,14,H6CA14114,,Angel,Cardenas,"Cardenas, Angel",REP
,,,,,,,
CA,15,H2CA15094 ,(I),Eric,Swalwell,"Swalwell, Eric",DEM
CA,15,H6CA15152 ,,Danny R.,Turner,"Turner, Danny R.",REP
,,,,,,,
CA,16,H4CA20082 ,(I),Jim,Costa,"Costa, Jim",DEM
CA,16,H6CA16135,,David,Rogers,"Rogers, David",REP
CA,16,H2CA16100,,Johnny M.,Tacherra,"Tacherra, Johnny M.",REP
CA,16,,,Richard,Gomez,"Gomez, Richard",W(GRE)
,,,,,,,
CA,17,H0CA15148 ,(I),Mike ,Honda,"Honda, Mike ",DEM
CA,17,H4CA12055 ,,Ro,Khanna,"Khanna, Ro",DEM
CA,17,H6CA17166 ,,Pierluigi C.,Oliverio,"Oliverio, Pierluigi C.",DEM
CA,17,H6CA17141,,Ron,Cohen,"Cohen, Ron",REP
CA,17,H6CA17158 ,,Peter,Kuo,"Kuo, Peter",REP
CA,17,H6CA17174,,Kennita,Watson,"Watson, Kennita",LIB
,,,,,,,
CA,18,H8CA12098 ,(I),Anna G.,Eshoo,"Eshoo, Anna G.",DEM
CA,18,H6CA18115,,Bob,Harlow,"Harlow, Bob",DEM
CA,18,H4CA18094 ,,Richard B.,Fox,"Fox, Richard B.",REP
,,,,,,,
CA,19,H4CA16049 ,(I),Zoe,Lofgren,"Lofgren, Zoe",DEM
CA,19,H6CA19121 ,,G. Burt,Lancaster,"Lancaster, G. Burt",REP
,,,,,,,
CA,20,H6CA20152 ,,Jimmy ,Panetta,"Panetta, Jimmy ",DEM
CA,20,H6CA20145,,Casey ,Lucius,"Lucius, Casey ",REP
CA,20,H6CA20178,,Joe,Williams,"Williams, Joe",PAF
CA,20,H6CA20186,,Jack ,Digby,"Digby, Jack ",NOP
CA,20,H6CA20194,,Barbara,Honegger,"Honegger, Barbara",NOP
,,,,,,,
CA,21,H6CA21218 ,,Emilio Jesus,Huerta,"Huerta, Emilio Jesus",DEM
CA,21,H6CA21192,,Daniel,Parra,"Parra, Daniel",DEM
CA,21,H2CA20094 ,(I),David,Valadao,"Valadao, David",REP
,,,,,,,
CA,22,H6CA22182 ,,Louie J.,Campos,"Campos, Louie J.",DEM
CA,22,H6CA22166,,"Teresita ""Tess""",Andres,"Andres, Teresita ""Tess""",REP
CA,22,H8CA20059 ,(I),Devin G.,Nunes,"Nunes, Devin G.",REP
,,,,,,,
