1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
111,AZ,Arizona,3,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",,R,6622,34.68%,,,,,,,,,,
112,AZ,Arizona,3,n/a,,,,,Party Votes:,R,19096,,,,,,,,,,,
113,AZ,Arizona,3,H2AZ03145,,Blanca,Guerra,"Guerra, Blanca",,LIB,116,100.00%,,,7567,4.49%,,,,,,
114,AZ,Arizona,3,n/a,,,,,Party Votes:,LIB,116,,,,,,,,,,,
115,AZ,Arizona,3,n/a,,,,,District Votes:,,55845,,,,168698,,,,,,,
116,AZ,Arizona,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
117,AZ,Arizona,4,H0AZ01259,(I),Raul,Gosar,"Gosar, Raul",,R,40033,51.35%,,,162907,66.83%,,,,,W,
118,AZ,Arizona,4,H2AZ04135,,Ron ,Gould,"Gould, Ron ",,R,24617,31.57%,,,,,,,,,,
119,AZ,Arizona,4,H4AZ02093,,Rick,Murphy,"Murphy, Rick",,R,13315,17.08%,,,,,,,,,,
120,AZ,Arizona,4,n/a,,,,,Party Votes:,R,77965,,,,,,,,,,,
121,AZ,Arizona,4,H2AZ04150,,Johnnie,Robinson,"Robinson, Johnnie",,D,10183,50.05%,,,69154,28.37%,,,,,,
122,AZ,Arizona,4,H2AZ04143,,Mikel,Weisser,"Weisser, Mikel",,D,10164,49.95%,,,,,,,,,,
123,AZ,Arizona,4,n/a,,,,,Party Votes:,D,20347,,,,,,,,,,,
124,AZ,Arizona,4,H2AZ04176,,Joe,Pamelia,"Pamelia, Joe",,LIB,189,100.00%,,,9306,3.82%,,,,,,
125,AZ,Arizona,4,n/a,,,,,Party Votes:,LIB,189,,,,,,,,,,,
126,AZ,Arizona,4,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(AE)/AE,11,100.00%,,,2393,0.98%,,,,,,
127,AZ,Arizona,4,n/a,,,,,Party Votes:,AE,11,,,,,,,,,,,
128,AZ,Arizona,4,n/a,,,,,District Votes:,,98512,,,,243760,,,,,,,
129,AZ,Arizona,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,
130,AZ,Arizona,5,H4AZ01038,,Matt,Salmon,"Salmon, Matt",,R,41078,51.85%,,,183470,67.19%,,,,,W,
131,AZ,Arizona,5,H2AZ06148,,Kirk,Adams,"Adams, Kirk",,R,38152,48.15%,,,,,,,,,,
132,AZ,Arizona,5,n/a,,,,,Party Votes:,R,79230,,,,,,,,,,,
133,AZ,Arizona,5,H2AZ05140,,Spencer,Morgan,"Morgan, Spencer",,D,19659,100.00%,,,89589,32.81%,,,,,,
134,AZ,Arizona,5,n/a,,,,,Party Votes:,D,19659,,,,,,,,,,,
135,AZ,Arizona,5,n/a,,,,,District Votes:,,98889,,,,273059,,,,,,,
136,AZ,Arizona,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,
137,AZ,Arizona,6,H4AZ06045,(I),David,Schweikert,"Schweikert, David",,R,41821,51.48%,,,179706,61.30%,,,,,W,
138,AZ,Arizona,6,H0AZ03362,(I),Ben,Quayle,"Quayle, Ben",,R,39414,48.52%,,,,,,,,,,
139,AZ,Arizona,6,n/a,,,,,Party Votes:,R,81235,,,,,,,,,,,
140,AZ,Arizona,6,H2AZ06171,,Matt,Jette,"Jette, Matt",,D,12383,51.91%,,,97666,33.31%,,,,,,
141,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,11471,48.09%,,,,,,,,,,
142,AZ,Arizona,6,n/a,,,,,Party Votes:,D,23854,,,,,,,,,,,
143,AZ,Arizona,6,H2AZ06189,,Jack,Anderson,"Anderson, Jack",,LIB,287,100.00%,,,10167,3.47%,,,,,,
144,AZ,Arizona,6,n/a,,,,,Party Votes:,LIB,287,,,,,,,,,,,
145,AZ,Arizona,6,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,2,100.00%,,,5637,1.92%,,,,,,
146,AZ,Arizona,6,n/a,,,,,Party Votes:,GRE,2,,,,,,,,,,,
147,AZ,Arizona,6,n/a,,James,Ketover,"Ketover, James",,W,,,,,1,0.00%,,,,,,
148,AZ,Arizona,6,n/a,,,,,District Votes:,,105378,,,,293177,,,,,,,
149,AZ,Arizona,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,
150,AZ,Arizona,7,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,22664,79.03%,,,104489,81.74%,,,,,W,
