1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
151,AZ,Arizona,7,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,D,6013,20.97%,,,,,,,,,,
152,AZ,Arizona,7,n/a,,,,,Party Votes:,D,28677,,,,,,,,,,,
153,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,162,100.00%,,,23338,18.26%,,,,,,
154,AZ,Arizona,7,n/a,,,,,Party Votes:,LIB,162,,,,,,,,,,,
155,AZ,Arizona,7,H2AZ07179,,Scott,Fistler,"Fistler, Scott",,W(R),116,100.00%,,,,,,,,,,
156,AZ,Arizona,7,n/a,,,,,Party Votes:,R,116,,,,,,,,,,,
157,AZ,Arizona,7,n/a,,,,,District Votes:,,28955,,,,127827,,,,,,,
158,AZ,Arizona,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,
159,AZ,Arizona,8,H4AZ04024,(I),Trent ,Franks,"Franks, Trent ",,R,57257,83.17%,,,172809,63.35%,,,,,W,
160,AZ,Arizona,8,H2AZ08144,,Tony,Passalacqua,"Passalacqua, Tony",,R,11572,16.81%,,,,,,,,,,
161,AZ,Arizona,8,H2AZ08136,,Helmuth,Hack,"Hack, Helmuth",,W(R),18,0.03%,,,,,,,,,,
162,AZ,Arizona,8,n/a,,,,,Party Votes:,R,68847,,,,,,,,,,,
163,AZ,Arizona,8,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,24510,100.00%,,,95635,35.06%,,,,,,
164,AZ,Arizona,8,n/a,,,,,Party Votes:,D,24510,,,,,,,,,,,
165,AZ,Arizona,8,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,AE,34,100.00%,,,4347,1.59%,,,,,,
166,AZ,Arizona,8,n/a,,,,,Party Votes:,AE,34,,,,,,,,,,,
167,AZ,Arizona,8,n/a,,,,,District Votes:,,93391,,,,272791,,,,,,,
168,AZ,Arizona,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,
169,AZ,Arizona,9,H2AZ09019,,Kyrsten,Sinema,"Sinema, Kyrsten",,D,15536,40.78%,,,121881,48.73%,,,,,W,
170,AZ,Arizona,9,H2AZ09027,,David,Schapira,"Schapira, David",,D,11419,29.97%,,,,,,,,,,
171,AZ,Arizona,9,H2AZ09043,,Andrei,Cherny,"Cherny, Andrei",,D,11146,29.25%,,,,,,,,,,
172,AZ,Arizona,9,n/a,,,,,Party Votes:,D,38101,,,,,,,,,,,
173,AZ,Arizona,9,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,R,11184,22.46%,,,111630,44.63%,,,,,,
174,AZ,Arizona,9,H2AZ09035,,Wendy,Rogers,"Rogers, Wendy",,R,10479,21.05%,,,,,,,,,,
175,AZ,Arizona,9,H2AZ09050,,Martin,Sepulveda,"Sepulveda, Martin",,R,10165,20.42%,,,,,,,,,,
176,AZ,Arizona,9,H2AZ06155,,Travis,Grantham,"Grantham, Travis",,R,9179,18.44%,,,,,,,,,,
177,AZ,Arizona,9,H2AZ09118,,Jeff,Thompson,"Thompson, Jeff",,R,3358,6.75%,,,,,,,,,,
178,AZ,Arizona,9,H2AZ09100,,Lisa,Borowsky,"Borowsky, Lisa",,R,3281,6.59%,,,,,,,,,,
179,AZ,Arizona,9,H2AZ09084,,Leah,Campos Schandlbauer,"Campos Schandlbauer, Leah",,R,2139,4.30%,,,,,,,,,,
180,AZ,Arizona,9,n/a,,,,,Party Votes:,R,49785,,,,,,,,,,,
181,AZ,Arizona,9,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,90,100.00%,,,16620,6.64%,,,,,,
182,AZ,Arizona,9,n/a,,,,,Party Votes:,LIB,90,,,,,,,,,,,
183,AZ,Arizona,9,n/a,,,,,District Votes:,,87976,,,,250131,,,,,,,
184,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
185,AZ,Arizona,H,n/a,,,,,Total State Votes:,,796248,,,,2173317,,,,,,,
186,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
187,AZ,Arizona,S,S2AZ00141,,Jeff,Flake,"Flake, Jeff",,R,357360,69.25%,,,1104457,49.23%,,,,,W,
188,AZ,Arizona,S,S2AZ00190,,Wil,Cardon,"Cardon, Wil",,R,110150,21.35%,,,,,,,,,,
189,AZ,Arizona,S,S2AZ00216,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,29159,5.65%,,,,,,,,,,
190,AZ,Arizona,S,S2AZ00166,,Bryan,Hackbarth,"Hackbarth, Bryan",,R,19174,3.72%,,,,,,,,,,
191,AZ,Arizona,S,S2AZ00240,,John,Lyon,"Lyon, John",,W(R),126,0.02%,,,,,,,,,,
192,AZ,Arizona,S,S2AZ00281,,Luis,Acle,"Acle, Luis",,W(R),56,0.01%,,,,,,,,,,
193,AZ,Arizona,S,n/a,,,,,Party Votes:,R,516025,,,,,,,,,,,
194,AZ,Arizona,S,S2AZ00232,,Richard,Carmona,"Carmona, Richard",,D,289881,100.00%,,,1036542,46.20%,,,,,,
195,AZ,Arizona,S,n/a,,,,,Party Votes:,D,289881,,,,,,,,,,,
196,AZ,Arizona,S,S2AZ00299,,Marc,Victor,"Victor, Marc",,W(LIB)/LIB,591,100.00%,,,102109,4.55%,,,,,,
197,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,591,,,,,,,,,,,
198,AZ,Arizona,S,S2AZ00307,,Stephen,Watts,"Watts, Stephen",,W,,,,,290,0.01%,,,,,,
199,AZ,Arizona,S,n/a,,Don,Manspeaker,"Manspeaker, Don",,W,,,,,24,0.00%,,,,,,
200,AZ,Arizona,S,n/a,,,,,Total State Votes:,,806497,,,,2243422,,,,,,,
201,,,,n/a,,,,,,,,,,,,,,,,,,
202,AR,Arkansas,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
203,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,138800,56.23%,,,,,W,
204,AR,Arkansas,1,H2AR01071,,Scott,Ellington,"Ellington, Scott",,D,27936,49.53%,10028,50.74%,96601,39.13%,,,,,,
205,AR,Arkansas,1,H2AR01055,,Clark M.,Hall,"Hall, Clark M.",,D,21861,38.76%,9737,49.26%,,,,,,,,
206,AR,Arkansas,1,H2AR01063,,Gary,Latanich,"Latanich, Gary",,D,6605,11.71%,,,,,,,,,,
207,AR,Arkansas,1,n/a,,,,,Party Votes:,D,56402,,19765,,,,,,,,,
208,AR,Arkansas,1,H2AR01089,,Jessica,Paxton,"Paxton, Jessica",,LIB,,,,,6427,2.60%,,,,,,
209,AR,Arkansas,1,H2AR01097,,Jacob,Holloway,"Holloway, Jacob",,GRE,,,,,5015,2.03%,,,,,,
210,AR,Arkansas,1,n/a,,,,,District Votes:,,56402,,19765,,246843,,,,,,,
211,AR,Arkansas,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
212,AR,Arkansas,2,H0AR02107,(I),Tim ,Griffin,"Griffin, Tim ",,R,Unopposed,,,,158175,55.19%,,,,,W,
213,AR,Arkansas,2,H2AR02053,,Herb,Rule,"Rule, Herb",,D,Unopposed,,,,113156,39.48%,,,,,,
214,AR,Arkansas,2,H2AR02079,,Barbara,Ward,"Ward, Barbara",,GRE,,,,,8566,2.99%,,,,,,
215,AR,Arkansas,2,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,,,,,6701,2.34%,,,,,,
216,AR,Arkansas,2,n/a,,,,,District Votes:,,,,,,286598,,,,,,,
217,AR,Arkansas,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
218,AR,Arkansas,3,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,186467,75.90%,,,,,W,
219,AR,Arkansas,3,H2AR03242,,Ken,Aden,"Aden, Ken",,D,Unopposed,,,,,,,,,,,
220,AR,Arkansas,3,H2AR03259,,Rebekah,Kennedy,"Kennedy, Rebekah",,GRE,,,,,39318,16.01%,,,,,,
221,AR,Arkansas,3,H2AR03267,,David,Pangrac,"Pangrac, David",,LIB,Unopposed,,,,19875,8.09%,,,,,,
222,AR,Arkansas,3,n/a,,,,,District Votes:,,,,,,245660,,,,,,,
223,AR,Arkansas,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
224,AR,Arkansas,4,H2AR04083,,Tom,Cotton,"Cotton, Tom",,R,20899,57.55%,,,154149,59.53%,,,,,W,
225,AR,Arkansas,4,H0AR04079,,Beth Anne,Rankin,"Rankin, Beth Anne",,R,13460,37.07%,,,,,,,,,,
226,AR,Arkansas,4,H2AR04117,,John ,Cowart,"Cowart, John ",,R,1953,5.38%,,,,,,,,,,
227,AR,Arkansas,4,n/a,,,,,Party Votes:,R,36312,,,,,,,,,,,
228,AR,Arkansas,4,H2AR04109,,Gene,Jeffress,"Jeffress, Gene",,D,23848,43.02%,15266,60.67%,95013,36.69%,,,,,,
229,AR,Arkansas,4,H2AR04133,,Q. Byrum,Hurst,"Hurst, Q. Byrum",,D,19812,35.74%,9895,39.33%,,,,,,,,
230,AR,Arkansas,4,H2AR04125,,DC,Morrison,"Morrison, DC",,D,11771,21.24%,,,,,,,,,,
231,AR,Arkansas,4,n/a,,,,,Party Votes:,D,55431,,25161,,,,,,,,,
232,AR,Arkansas,4,H2AR04141,,Bobby,Tullis,"Tullis, Bobby",,LIB,,,,,4984,1.92%,,,,,,
233,AR,Arkansas,4,H8AR04098,,J. Joshua,Drake,"Drake, J. Joshua",,GRE,,,,,4807,1.86%,,,,,,
234,AR,Arkansas,4,n/a,,,,,,,,,,,,,,,,,,
235,AR,Arkansas,4,n/a,,,,,District Votes:,,91743,,25161,,258953,,,,,,,
236,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
237,AR,Arkansas,H,n/a,,,,,Total State Votes:,,148145,,44926,,1038054,,,,,,,
238,,,,n/a,,,,,,,,,,,,,,,,,,
